Date,CONSSENT Index,CONCCONF Index,BASPCCUS Index,DELQUS30 Index,DELQUS90 Index,USDECRED Index,PCE CYOY Index,CPI XYOY Index,CPI YOY Index,NYCNMIIR Index,NFP TCH Index,AHE TOTL Index,REALYAHE Index,PPIDGROC Index ,AUTMUSAG Index,RCPPTFAV Index
9/13/2000,107.3,140.8,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.87258,2.6,3.4,#N/A Invalid Security,-7,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
9/14/2000,107.3,140.8,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.87258,2.6,3.4,,-7,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
9/15/2000,107.3,140.8,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.87258,2.6,3.4,,-7,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
9/18/2000,107.3,140.8,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.87258,2.6,3.4,,-7,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
9/19/2000,107.3,140.8,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.87258,2.6,3.4,,-7,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
9/20/2000,107.3,140.8,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.87258,2.6,3.4,,-7,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
9/21/2000,107.3,140.8,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.87258,2.6,3.4,,-7,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
9/22/2000,107.3,140.8,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.87258,2.6,3.4,,-7,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
9/25/2000,107.3,140.8,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.87258,2.6,3.4,,-7,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
9/26/2000,107.3,140.8,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.87258,2.6,3.4,,-7,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
9/27/2000,107.3,140.8,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.87258,2.6,3.4,,-7,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
9/28/2000,107.3,140.8,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.87258,2.6,3.4,,-7,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
