,2020-08-31 00:00:00,2020-09-30 00:00:00,2020-11-02 00:00:00,2020-11-30 00:00:00,2020-12-31 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-03-31 00:00:00,2021-04-30 00:00:00,2021-05-31 00:00:00,2021-06-30 00:00:00,2021-08-02 00:00:00,2021-08-31 00:00:00,2021-11-01 00:00:00,2021-11-30 00:00:00,2022-01-31 00:00:00,2022-02-28 00:00:00,2022-03-31 00:00:00,2022-05-02 00:00:00,2022-05-31 00:00:00,2022-08-01 00:00:00,2022-08-31 00:00:00,2022-09-30 00:00:00,2022-10-31 00:00:00,2022-11-30 00:00:00,2023-01-02 00:00:00,2023-01-31 00:00:00,2023-02-28 00:00:00,2023-03-31 00:00:00,2023-05-01 00:00:00,2023-05-31 00:00:00,2023-06-30 00:00:00,2023-07-31 00:00:00,2023-08-31 00:00:00,2023-10-16 00:00:00,2023-10-17 00:00:00,2023-10-18 00:00:00,2023-10-19 00:00:00,2023-10-20 00:00:00,2023-10-23 00:00:00,2023-10-24 00:00:00,2023-10-25 00:00:00,2023-10-26 00:00:00,2023-10-27 00:00:00,2023-10-30 00:00:00,2023-10-31 00:00:00
Q96A1109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016478783916445468,0.000777009791849765,0.0003848004870132572,5.607814390473469e-05,-0.003386956667738923,-0.001137637299966368,0.0027312844077355437,0.003112790073524104,0.008769385549692189,0.008216912909119386,0.004974014482460784,0.0026481690852622475,-0.005067098877456072
Q96A1110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002897110246799739,0.004272827334480689,0.005160214443929243,0.0010723773490533915,0.010200549067189242,0.013511976005444178,0.005819965060544716,0.008042539825512533,-0.008373744994099439,-0.0036349525495754723,-0.0071598448041533804,-0.0019105017170369784,0.012229705750208434
Q96A1111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006590114861913037,-0.018035480836105167,-0.017695788047207096,-0.006035068458253597,-0.013113119371293369,-0.038873016619951524,-0.03094560914688491,-0.04244017983372315,-0.008437216065101807,-0.017536177895221893,0.013079570899103155,0.009371829330536978,0.014704795956813795
Q597A1808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009589534857664533,0.017313050317500776,0.0169523880591756,0.022602219830044307,0.03653807819717081,0.028498303168054837,0.021357556492343305,0.02770402509170361,0.03931733098133676,0.0255170761796879,0.0021913530914014216,0.001582032973180397,0.005162226277639845
Q597A1809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007534460488354129,-0.003305108173296376,-0.001110282378463013,0.003880020399931369,0.007493045312085533,0.006818350225914468,0.007218835422646757,0.012822402901890784,-0.00847043430223423,-0.0019011891045257997,0.005401562091131917,0.010579555403224347,0.009953515366349364
Q597A1810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009707667469834275,-0.016122120816602015,-0.012291582916880484,-0.025754997825840616,-0.01575258232735359,-0.01725252314260057,-0.0057560711231978996,0.005315052387083143,-0.05499680816207255,-0.02612614692475483,-0.07167565199032785,-0.049321189776288916,-0.027597985015586208
Q597A1811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016158913823820297,0.020594148323829022,0.018989075162766992,0.01961883632548485,0.005481034661316364,-0.030189466600384764,-0.012065263841770476,-0.010300746128621625,-0.004524547426495176,0.008572067667928342,-0.006471767567995436,-0.01501816519584222,-0.029051049898659326
Q597A1812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00363366087217723,-0.003426502605989937,-0.00099320358099112,0.0152935745131378,0.030719586988893103,0.060639607851151064,0.07255836907052805,0.060808856888180884,0.07928632511571536,0.06696952190432157,0.08623940727056009,0.09447044453117623,0.0962903048170386
Q597A1813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018072904346297504,-6.356937921018531e-05,-0.002795307884586809,-0.005255846702296087,-0.014641409927621935,-0.007085520098402355,-0.007496820860619586,-0.01814924260205741,0.014872389996574299,0.007334148241503101,0.014060410238998695,0.008018500896468153,0.0029574366605523827
Q664A1827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020503651595178272,0.011940789597854717,0.00811591600010228,0.014871137775496292,0.0033913460517016785,0.0366774779924532,0.008343653928452361,0.009312165473659722,-0.023168945819747773,-0.024707039603436794,-0.08372757865811395,-0.04573743994996926,-0.03259524281095852
Q664A1829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012962883377113802,-0.007802927389357518,-0.006741140922801971,0.0027789838502646183,-0.003922951937781644,0.004695809299646793,0.017471176089291007,0.010272486475436583,0.13860100534080091,0.13344410934617632,0.1449483788179669,0.1480637397042565,0.15323348866435618
Q664A1830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011983184850007295,-0.01205358316312543,-0.007434510823715304,-0.012414420636796217,0.000617740503049731,0.00587825069804923,0.006125995540654049,0.024562185349256832,-0.047213162837123464,-0.04231266046403381,-0.04727288437573239,-0.03682660033096892,-0.016069126784892182
Q664A1831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004203076211569885,0.005163933479332549,0.0006339808201454473,0.007091878052348897,-0.004651423028796343,0.021841153193967018,0.014828190659052208,-0.009950473062891966,0.053570617922761125,0.039644324099429515,0.049833721960784366,0.04182142221432675,0.024612751295301175
Q664A1832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016549020149649568,0.003425785107011234,0.006573198550922343,-0.015586772574425489,-0.013605776709708606,-0.057761465789047485,-0.08112744318791122,-0.08350419558608078,-0.013877876754012166,-0.026947214201625234,-0.013179457605916748,-0.03333288962895451,-0.01175596963886854
Q664A1833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013209657179390287,0.007042236005834066,0.00335505154478224,0.010290438527805106,-2.5435467583907855e-05,-0.013358115725631774,-0.0247529530165036,-0.05056909320931883,0.014397069638991272,0.0014575949490395093,0.005953264965821514,-0.015097138585416437,-0.025627243007821415
Q97Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024062891543261546,0.020488914265505045,0.016299100760867477,0.023189699076514414,0.021172036207618067,0.0135668290258735,0.017838221144879055,0.02576025701520067,0.019862613193389247,0.03253239176458394,-0.04974535041225493,-0.028181102356105416,-0.034655718646909
Q98Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005360103209562734,0.02107490749838875,0.01984744466599165,0.007509214159357075,0.02140356995516983,0.006003042275856443,0.004426738345347274,0.02523554543922379,-0.021014863341831773,-0.003844182395268148,-0.05312686761350281,-0.05760359002953044,-0.05603462092468405
Q101Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005208452372408311,-0.001567892392876171,-0.0014162187957346092,-0.005488175113545115,-0.00861608534360204,0.0012281698199564845,-0.0031148021436048414,-0.003442013713887669,-0.004297222937442976,-0.005935938100559736,-0.024549649755555618,-0.016282276016741207,-0.007064302908682998
Q103Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0036121379831981085,-0.004055927035292569,-0.004597572428202805,-0.001196137970391114,-0.004515513134690363,-0.009494606499814083,-0.007466275419613014,-0.0021407400726903953,-0.0034410791289198866,0.000412215809677166,-0.004597516167634348,-0.001518354164200637,-0.00042226220520573865
Q104Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000413301106972439,0.0017114347015440776,0.0025291974115188216,0.005232333923405347,0.0026098236079306067,-0.0005090093529915356,0.005561280423122294,0.006339149126401171,-0.0053601841685223485,0.011335379033376348,0.008805268764700185,0.011475280680501885,0.007518399701913718
Q105Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003655463538376564,-0.006838352540950467,-0.0076493997390292764,-0.0003198107250735364,-0.009468706786364701,-0.016367604578203195,-0.009240476518009515,-0.007714499098482422,-0.008175214680144685,-0.006748077361223792,-0.015474415545686206,-0.014290000170274236,-0.010736742570672456
Q106Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003988279915761089,-0.005798171963473733,-0.00679315033904016,0.0011478349657060855,-0.001853354280458569,-0.002075872308807173,0.001541072409512547,0.0003542745059000799,-0.0066698448614704075,-0.009144945821093561,-0.005893605998768133,-0.0023409561210683727,0.0009351117743692684
Q107Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002453334327063584,-0.005367964878016268,-0.006624089742735933,0.0013618753077144895,-0.0049973174801157105,-0.011676496268512889,-0.00906035144739248,-0.00930278608502056,-0.012323190258418227,-0.013025386700129156,-0.026310441333264763,-0.027528891544204463,-0.022864084292997213
Q108Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011259535435497103,-0.0032910580878834934,-0.004880879244560783,-0.0014778447478310962,-0.007201165598285916,-0.013681385398503717,-0.008765817996202085,-0.008784770157347669,0.00048337834276462215,-0.0017456372487397146,-0.00832528549500856,-0.010578904164314444,-0.009201334314082666
Q109Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023135638432026867,0.0019508086041790669,0.0020733823030046625,-0.0022915441754897546,-3.0612993109535794e-05,-0.008888261500764279,-0.005504177699328387,0.0005809899094289135,-0.013807177249546172,-0.013061913923512384,-0.015999809157994267,-0.014839630290809404,-0.011941439166391066
Q110Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005419328774454276,0.0009416783277002239,0.0012643740586920282,0.001587768314972388,-0.0005337261318620796,-0.01037569278739659,-0.007035930891837212,-0.010390642202517675,0.004711687929528353,0.004053294386301153,-0.0014980382207166352,-0.007564515557418884,-0.00564860842051192
Q153Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00325454924925051,0.01014845434094705,0.007812671942237559,0.0014905827244773525,0.013945438102259292,0.012559241030888811,0.023198031686511248,0.020027206302008476,0.08522166951653921,0.09268865453007465,0.08195551460321367,0.07163662669700754,0.06264750722655126
Q154Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004368430201676195,0.008907937134201625,0.009717995322896075,0.007193654687474902,0.01541404892969273,0.014916104623790793,0.01157620119288253,0.013594824619023354,0.024051867536791956,0.027697348890290536,0.02194058270346043,0.01492461338961343,0.014353608572162838
Q155Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000799042308235966,-0.003809625700274111,-0.0011752485904572424,0.005106354108026201,0.013873477903569388,0.031083792938986242,0.027324239119323582,0.015858592345493,0.07705199653506528,0.06164732680992797,0.0767739848615062,0.07345632189160879,0.08466590750534593
Q156Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004640446236262994,-0.004158841050259691,-0.001353152113750461,-0.0021932522520058317,0.0051873920481317415,0.014646464498274123,0.013671543727428456,0.01705330770935484,0.07139636655490336,0.06462870610885847,0.06905281464356092,0.06724228742270306,0.07283980275638537
Q158Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019471993232271668,0.013999680078399954,0.011893104020691613,-0.002316769794441099,0.0024526671355590943,-0.025582105355695748,-0.019853723674804542,-0.009172936878357215,-0.005380264227735871,0.01264489638391806,0.00979701723120105,0.003809324832107667,-0.007632653510743708
Q159Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009601705711946986,0.008794108938587945,0.009625401773928472,0.014132323822297916,0.023447451554581503,0.018225865341839703,0.01938384987380083,0.019186125756836623,0.08467756353314325,0.090489742476057,0.07694532032576545,0.07136078769007823,0.06000146199428447
Q170Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011040484913982728,-0.0024043169149746673,-0.007533614708459283,-0.032436791410892285,-0.02931299659617418,-0.02578159261979307,-0.015442259730200754,-0.01704505696048906,-0.012681088362553114,-0.007468060546683983,-0.010977943693408631,-0.005617871472086677,-0.006964935707956255
Q173Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006368587172163557,-0.009658242002956306,-0.007303812889703754,-0.004984015655655433,0.003542046443491655,0.03336405620217596,0.034160974027153186,0.030102113985934608,0.017354290201617613,0.01359867092953767,0.011894091883689237,0.02698965231962589,0.04260957200430166
Q182Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007078552034016808,0.022259161092994667,0.021312130344134823,-0.0005127132859599054,-0.0006878128018634618,0.04501862411788453,0.06003428052290452,0.06803724432639054,0.007897951309856202,-0.03455476127469516,-0.010680908200878386,0.009335736886109183,0.008015546107184433
Q183Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005929977455868078,-0.008942875945446311,-0.007852808150210342,-0.01619522681925991,-0.037043665342192354,-0.05278747135322461,-0.045817329586158896,-0.06006298771790674,-0.04236351199656079,-0.02776848463295876,-0.02834236499413291,-0.014515130772355715,-0.013046657979260568
Q335Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008754714027851005,-0.001409994108326446,0.0013201938540257634,-0.005508949861462944,0.005493910010260939,0.055153854903401786,0.062824781099822,0.04057829864060495,0.10903302186220319,0.11571133575933445,0.0871505964772126,0.09465379946849085,0.10678240031015117
Q337Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004040197148165061,-0.012721866738877192,-0.01740666905769608,-0.002454688562091595,-0.012770973538608708,-0.04312915979033319,-0.036303576729299916,-0.05635565876454196,0.013911408017726041,-0.0016533459477688565,0.003933653758413382,0.017742342519631128,-0.00657787468970051
Q338Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.558089163199266e-05,0.0013078850360266163,0.001233929983515012,0.0007246290340864295,0.0012669393303697803,0.0019453307722162817,0.003172964209401028,0.0034565550109263926,0.0053501249728027805,0.006555701275120808,0.006471371128047363,0.007111449068716217,0.006526639926160778
Q339Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006541915860477205,-0.004703758093156114,-0.0015822251119072379,0.007362883973159348,-0.0002718307025823133,0.019301490445793476,0.018378259018325606,0.008285557079179903,0.057712845565102866,0.03619863050116535,0.055035032029647726,0.06520302963231318,0.06073760898282
Q340Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005986663873466114,-0.00010368273089597836,-0.0033728412635371623,0.00918737325270724,0.011717986936808873,0.016955754433828452,0.013744969262838887,0.010370062533262824,0.023169702430296518,0.015957697110159808,0.006590018034080624,0.007114666753079562,0.007487612714961753
Q341Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013428464135592834,-0.0014114809717698106,-0.001948130490362059,0.004089099121064664,0.004027508498194542,0.011624871426500986,0.012507507809559441,0.009047090754616934,0.02458321338236935,0.01826325917492461,0.014837949730396436,0.019034266378250283,0.018277491911669823
