,2020-09-30 00:00:00,2020-11-02 00:00:00,2020-11-30 00:00:00,2020-12-31 00:00:00,2021-02-01 00:00:00,2021-03-31 00:00:00,2021-04-30 00:00:00,2021-05-31 00:00:00,2021-06-30 00:00:00,2021-08-02 00:00:00,2021-08-31 00:00:00,2021-11-30 00:00:00,2021-12-31 00:00:00,2022-01-31 00:00:00,2022-02-28 00:00:00,2022-03-31 00:00:00,2022-05-02 00:00:00,2022-05-31 00:00:00,2022-06-30 00:00:00,2022-08-01 00:00:00,2022-08-31 00:00:00,2022-09-30 00:00:00,2022-10-31 00:00:00,2022-11-30 00:00:00,2023-01-02 00:00:00,2023-01-31 00:00:00,2023-02-28 00:00:00,2023-05-31 00:00:00,2023-06-30 00:00:00,2023-07-31 00:00:00,2023-08-31 00:00:00,2023-10-16 00:00:00,2023-10-17 00:00:00,2023-10-18 00:00:00,2023-10-19 00:00:00,2023-10-20 00:00:00,2023-10-23 00:00:00,2023-10-24 00:00:00,2023-10-25 00:00:00,2023-10-26 00:00:00,2023-10-27 00:00:00,2023-10-30 00:00:00,2023-10-31 00:00:00
Q96A1109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00224856061376778,-0.012828743790594017,-0.007917595964122393,-0.006468546933044269,0.0025257402025055595,-0.008612229194730231,-0.008322600258421027,-0.014320348873595502,-0.030966757534600115,-0.03558786139806575,0.0023159759799327613,-0.0008668621556763567
Q96A1110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024418634494798243,0.006995640944156823,0.000873236893562584,-0.004402102691543478,-0.025050962959112043,-0.017481320880423996,-0.0058999758662803894,0.001692989651941954,0.026182749639237186,0.040620872897142675,-0.01956003653294758,0.016588757105716338
Q96A1111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005913153103110522,0.037895565175454844,0.03768257538125193,0.04426529041254161,0.06549882950538281,0.10163050765497163,0.057778285860748964,0.05233175692952179,0.0590680501210719,0.053475688061288947,0.04009348037069455,-0.025517174399326548
Q597A1808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023650856790716135,0.008807409757065086,-0.009045002381995916,-0.0031601646892957147,0.007169525119586216,0.03519830860283866,0.0428153401782601,0.044738299739064104,0.05269263870939274,0.05043751997407164,0.04878584678829807,0.009926491904275641
Q597A1809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0024760659911074482,-0.021152699709008217,-0.024362940066382295,-0.020649819937005556,0.005263187927208704,0.0026477020679968517,0.0070787118473791865,0.001474573641185072,-0.02325134645199285,-0.014128716110248527,-0.00015804779219428128,0.013283687730326777
Q597A1810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014200353465925537,-0.007956781818548116,-0.008194344526050081,-0.0021032943731152686,0.015724867865504415,0.003543496742227832,0.007353856940318318,3.215368206416455e-05,0.006318494007287945,-0.04571436990486064,-0.05707570274098654,-0.018879440352163643
Q597A1811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005189535293165977,0.020866411463189235,0.014837456204509648,0.020825978600548113,0.057883212156550075,0.0393764983843449,0.0010777617165142475,-0.016987495955035035,-0.02529129440442495,-0.013275307811815355,-0.01030085521484184,-0.018503876257629063
Q597A1812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004503367113150661,-0.006805595361149939,-0.028282097828536842,0.0010362747823009478,0.08895108339029498,0.06796357914550906,0.10559526791901327,0.08520202873833999,0.08844950595125553,0.11427111629918413,0.07320444900090141,0.06379854593381293
Q597A1813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002423731959370184,0.01818299799828005,0.026534797389676158,0.01912797177536899,-0.010258631110031665,-0.01447376552250901,-0.01699010050820465,-0.013848011077333727,0.0013748381240007265,0.002344795117573686,-0.003936551546281786,-0.002005746593610341
Q664A1827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030170474135864877,0.10803030739791593,0.0636805049619489,0.07168012137946218,0.08479905420662089,0.047610034446783175,0.10451351928499288,0.12639188830702155,0.17664039960738706,0.21156629885567746,0.12534974941785532,0.031350793359541086
Q664A1829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008158538396401623,0.07862498689664844,0.051891952749405494,0.0669868581449903,0.11743111195503682,0.12114318491646929,0.14242310284296494,0.1445092303627337,0.15730102053132214,0.21924826169949313,0.18014474644560985,0.08335439939137655
