,rsquared,mae,mape,p_value
CONSSENT Index,-0.0425529497434316,0.0030022124349403565,4555709402420.615,0.030218877875884943
CONCCONF Index,-0.056188658214235465,0.0030817662806787646,3662433049005.4087,0.018361375697601694
BASPCCUS Index,0.0,0.00061386539405619,2764603959927.1,1.0
DELQUS30 Index,-1.3201173494958924,0.0012008742416410238,1695874040857.4226,0.9975224539902445
DELQUS90 Index,0.007071471761715631,0.0027706006945254946,3802023020815.015,0.0453545820154446
USDECRED Index,,,,
PCE CYOY Index,,,,
CPI XYOY Index,,,,
CPI YOY Index,,,,
NYCNMIIR Index,,,,
NFP TCH Index,,,,
AHE TOTL Index,,,,
REALYAHE Index,,,,
PPIDGROC Index ,,,,
AUTMUSAG Index,,,,
RCPPTFAV Index,,,,
